Landing type,Timestamp (ms),Phase
Comp,1740679649.017644,Static Phase Start
Comp,1740679649.6262078,Run-up Phase Start
Comp,1740679654.0618224,Injump Phase Start
Comp,1740679654.4567268,Loading Phase Start
Comp,1740679654.5320132,Rebound Phase Start
Comp,1740679654.64076,Flight Phase Start
Comp,1740679655.9401448,Landing Phase Start
Comp,1740679657.4368868,Landing Phase End
Comp,1740679746.9937387,Static Phase Start
Comp,1740679747.5743294,Run-up Phase Start
Comp,1740679751.6285906,Injump Phase Start
Comp,1740679752.0174234,Loading Phase Start
Comp,1740679752.0868773,Rebound Phase Start
Comp,1740679752.2084215,Flight Phase Start
Comp,1740679753.5041702,Landing Phase Start
Comp,1740679755.0167992,Landing Phase End
Comp,1740679819.1936393,Run-up Phase Start
Comp,1740679817.84797,Static Phase Start
Comp,1740679822.4425757,Injump Phase Start
Comp,1740679822.86635,Loading Phase Start
Comp,1740679822.9406965,Rebound Phase Start
Comp,1740679823.052216,Flight Phase Start
Comp,1740679824.3086696,Landing Phase Start
Comp,1740679825.4759076,Landing Phase End
Comp,1740679917.741952,Run-up Phase Start
Comp,1740679916.5099256,Static Phase Start
Comp,1740679922.0985475,Injump Phase Start
Comp,1740679922.4826772,Loading Phase Start
Comp,1740679922.552945,Rebound Phase Start
Comp,1740679922.6606886,Flight Phase Start
Comp,1740679924.0580132,Landing Phase Start
Comp,1740679925.3696764,Landing Phase End
Comp,1740680048.3153749,Run-up Phase Start
Comp,1740680047.1613975,Static Phase Start
Comp,1740680052.5834816,Injump Phase Start
Comp,1740680052.9883182,Loading Phase Start
Comp,1740680053.074744,Rebound Phase Start
Comp,1740680053.1748161,Flight Phase Start
Comp,1740680054.566727,Landing Phase Start
Comp,1740680056.322043,Landing Phase End
Soft,1740680210.0780995,Run-up Phase Start
Soft,1740680208.9533374,Static Phase Start
Soft,1740680213.5732706,Injump Phase Start
Soft,1740680214.0410454,Loading Phase Start
Soft,1740680214.1461632,Rebound Phase Start
Soft,1740680214.2407694,Flight Phase Start
Soft,1740680215.586279,Landing Phase Start
Soft,1740680216.9738355,Landing Phase End
Semi,1740680631.837902,Run-up Phase Start
Semi,1740680630.6693203,Static Phase Start
Semi,1740680635.5966802,Injump Phase Start
Semi,1740680635.9989135,Loading Phase Start
Semi,1740680636.0941794,Rebound Phase Start
Semi,1740680636.1947377,Flight Phase Start
Semi,1740680637.4914114,Landing Phase Start
Semi,1740680638.6398938,Landing Phase End
Soft,1740680262.7214627,Run-up Phase Start
Soft,1740680261.4200244,Static Phase Start
Soft,1740680266.0452428,Injump Phase Start
Soft,1740680266.4757135,Loading Phase Start
Soft,1740680266.5628974,Rebound Phase Start
Soft,1740680266.6664283,Flight Phase Start
Soft,1740680268.023229,Landing Phase Start
Soft,1740680270.2355218,Landing Phase End
Soft,1740680379.4713538,Run-up Phase Start
Soft,1740680378.0620253,Static Phase Start
Soft,1740680383.7820556,Injump Phase Start
Soft,1740680384.2136161,Loading Phase Start
Soft,1740680384.2773695,Rebound Phase Start
Soft,1740680384.3852596,Flight Phase Start
Soft,1740680385.812352,Landing Phase Start
Soft,1740680387.170787,Landing Phase End
Soft,1740680510.7263668,Run-up Phase Start
Soft,1740680509.302326,Static Phase Start
Soft,1740680514.6153162,Injump Phase Start
Soft,1740680515.0223563,Loading Phase Start
Soft,1740680515.1204383,Rebound Phase Start
Soft,1740680515.2136161,Flight Phase Start
Soft,1740680516.6799414,Landing Phase Start
Soft,1740680518.0825133,Landing Phase End
Semi,1740680726.0785995,Run-up Phase Start
Semi,1740680724.8606517,Static Phase Start
Semi,1740680729.2140996,Injump Phase Start
Semi,1740680729.6505084,Loading Phase Start
Semi,1740680729.7326052,Rebound Phase Start
Semi,1740680729.849269,Flight Phase Start
Semi,1740680731.1671371,Landing Phase Start
Semi,1740680733.102891,Landing Phase End
Semi,1740680826.997151,Run-up Phase Start
Semi,1740680825.7964866,Static Phase Start
Semi,1740680831.1921844,Injump Phase Start
Semi,1740680831.6345346,Loading Phase Start
Semi,1740680831.7123103,Rebound Phase Start
Semi,1740680831.8192523,Flight Phase Start
Semi,1740680833.248383,Landing Phase Start
Semi,1740680835.499224,Landing Phase End
Semi,1740680954.522597,Run-up Phase Start
Semi,1740680953.2955754,Static Phase Start
Semi,1740680958.508608,Injump Phase Start
Semi,1740680958.9568994,Loading Phase Start
Semi,1740680959.048718,Rebound Phase Start
Semi,1740680959.145938,Flight Phase Start
Semi,1740680960.5934324,Landing Phase Start
Semi,1740680962.0193226,Landing Phase End
