ID,Subject ID,Jump Nr,Landing,Trial,Skill,Position,Start Frame,End frame,Video ToF (s),dhCOM,hCOM,dCAM,dhCOM adjusted,hCOM adjusted,ToF Height (m),Height from floor (m),Height uncertainty (m),FSS (m/s),Adjusted FSS (m/s)
1,7,2,Competition,Sub max,Double half pike,Pike,109,264,1.292,0.108,0.806,6.000,0.119,0.887,2.994,3.444,0.116,5.44,5.98
2,7,3,Competition,Sub max,Full half straight,Straight,115,266,1.258,0.181,0.746,6.000,0.199,0.821,2.865,3.315,0.116,5.41,5.95
3,7,4,Competition,Near max,Tripple half tuck,Tuck,101,268,1.392,0.162,0.739,6.000,0.178,0.813,3.280,3.730,0.117,6.22,6.84
4,7,5,Competition,Near max,Tripple half tuck,Tuck,103,269,1.383,0.299,0.665,6.000,0.329,0.732,3.247,3.697,0.117,6.04,6.64
5,7,6,Soft pit,Sub max,Double half pike,Pike,169,329,1.333,0.314,0.706,6.000,0.345,0.777,3.134,3.434,0.117,5.51,6.06
6,7,7,Soft pit,Sub max,Full half straight,Straight,113,275,1.350,0.327,0.676,6.000,0.360,0.744,3.164,3.464,0.117,5.70,6.27
7,7,8,Soft pit,Near max,Tripple half tuck,Tuck,103,273,1.417,0.392,0.679,6.000,0.431,0.747,3.430,3.730,0.118,6.13,6.74
8,7,9,Soft pit,Near max,Tripple half tuck,Tuck,94,269,1.458,0.370,0.733,6.000,0.407,0.806,3.624,3.924,0.118,6.38,7.02
9,7,10,Semi in Soft pit,Sub max,Double half pike,Pike,144,298,1.283,0.265,0.757,6.000,0.292,0.833,3.002,3.252,0.117,4.75,5.23
10,7,11,Semi in Soft pit,Sub max,Full half straight,Straight,119,277,1.317,0.378,0.679,6.000,0.416,0.747,3.087,3.337,0.117,5.21,5.73
11,7,12,Semi in Soft pit,Near max,Tripple half tuck,Tuck,100,271,1.425,0.450,0.675,6.000,0.495,0.743,3.488,3.738,0.118,6.19,6.81
12,7,13,Semi in Soft pit,Near max,Tripple half tuck,Tuck,99,272,1.442,0.380,0.692,6.000,0.418,0.761,3.525,3.775,0.118,6.26,6.89
13,8,3,Competition,Sub max,Full half straight,Straight,91,240,1.242,0.082,0.744,6.000,0.090,0.818,2.756,3.206,0.116,6.17,6.79
14,8,4,Competition,Sub max,Full half straight,Straight,84,233,1.242,0.123,0.707,6.000,0.135,0.778,2.738,3.188,0.116,6.29,6.92
15,8,5,Competition,Near max,Tripple half tuck,Tuck,82,253,1.425,0.123,0.725,6.000,0.135,0.798,3.358,3.808,0.117,6.68,7.35
16,8,6,Competition,Near max,Tripple half tuck,Tuck,83,254,1.425,0.151,0.703,6.000,0.166,0.773,3.349,3.799,0.117,6.75,7.43
17,8,7,Soft pit,Sub max,Full half straight,Straight,85,238,1.275,0.273,0.764,6.000,0.300,0.840,2.988,3.288,0.117,6.36,7.00
18,8,8,Soft pit,Sub max,Full half straight,Straight,90,245,1.292,0.322,0.682,6.000,0.354,0.750,2.979,3.279,0.117,5.94,6.53
19,8,9,Soft pit,Near max,Tripple half tuck,Tuck,80,254,1.450,0.408,0.621,6.000,0.449,0.683,3.493,3.793,0.118,6.46,7.11
20,8,10,Soft pit,Near max,Tripple half tuck,Tuck,85,260,1.458,0.442,0.668,6.000,0.486,0.735,3.594,3.894,0.118,6.52,7.17
21,8,11,Semi in Soft pit,Sub max,Full half straight,Straight,83,238,1.292,0.253,0.750,6.000,0.278,0.825,3.014,3.264,0.117,5.92,6.51
22,8,12,Semi in Soft pit,Sub max,Full half straight,Straight,88,243,1.292,0.354,0.901,6.000,0.389,0.991,3.238,3.488,0.117,5.76,6.34
23,8,13,Semi in Soft pit,Near max,Tripple half tuck,Tuck,79,252,1.442,0.353,0.680,6.000,0.388,0.748,3.497,3.747,0.118,6.15,6.77
24,8,14,Semi in Soft pit,Near max,Tripple half tuck,Tuck,78,252,1.450,0.275,0.674,6.000,0.303,0.741,3.475,3.725,0.118,6.00,6.60
25,9,3,Competition,Sub max,Double half tuck,Tuck,88,237,1.242,0.126,0.865,6.000,0.139,0.952,2.914,3.364,0.116,6.07,6.68
26,9,4,Competition,Sub max,Double half pike,Pike,79,239,1.333,0.107,0.833,6.000,0.118,0.916,3.157,3.607,0.116,5.69,6.26
27,9,5,Competition,Near max,Tripple half tuck,Tuck,76,246,1.417,0.199,0.790,6.000,0.219,0.869,3.443,3.893,0.117,6.62,7.28
28,9,6,Competition,Near max,Tripple half tuck,Tuck,75,246,1.425,0.259,0.744,6.000,0.285,0.818,3.455,3.905,0.117,7.06,7.77
29,9,7,Soft pit,Sub max,Double half pike,Pike,63,232,1.408,0.340,0.765,4.500,0.385,0.867,3.498,3.798,0.117,6.08,6.89
30,9,8,Soft pit,Sub max,Double half pike,Pike,60,230,1.417,0.488,0.653,4.500,0.553,0.740,3.487,3.787,0.118,5.65,6.40
31,9,9,Soft pit,Near max,Tripple half tuck,Tuck,62,235,1.442,0.532,0.615,4.500,0.603,0.697,3.558,3.858,0.118,6.37,7.22
32,9,10,Soft pit,Near max,Tripple half tuck,Tuck,68,241,1.442,0.530,0.593,4.500,0.601,0.672,3.532,3.832,0.118,6.36,7.21
33,9,11,Semi in Soft pit,Sub max,Double half pike,Pike,68,237,1.408,0.339,0.784,4.500,0.384,0.889,3.519,3.769,0.117,6.16,6.98
34,9,12,Semi in Soft pit,Sub max,Double half pike,Pike,72,238,1.383,0.352,0.736,4.500,0.399,0.834,3.386,3.636,0.117,6.27,7.11
35,9,13,Semi in Soft pit,Near max,Tripple half tuck,Tuck,65,239,1.450,0.399,0.724,4.500,0.452,0.821,3.632,3.882,0.118,6.44,7.30
36,9,14,Semi in Soft pit,Near max,Tripple half tuck,Tuck,67,242,1.458,0.419,0.688,4.500,0.475,0.780,3.633,3.883,0.118,6.16,6.98
37,10,3,Competition,Sub max,Double half pike,Pike,98,247,1.242,0.077,0.852,6.000,0.085,0.937,2.872,3.322,0.116,6.30,6.93
38,10,4,Competition,Sub max,Double half pike,Pike,93,250,1.308,0.052,0.821,6.000,0.057,0.903,3.033,3.483,0.116,6.54,7.19
39,10,5,Competition,Near max,Full half straight,Straight,94,252,1.317,0.128,0.731,6.000,0.141,0.804,3.003,3.453,0.116,6.90,7.59
40,10,6,Competition,Near max,Full half straight,Straight,91,245,1.283,0.131,0.801,6.000,0.144,0.881,2.975,3.425,0.116,7.01,7.71
41,10,8,Soft pit,Sub max,Double half pike,Pike,89,246,1.308,0.246,0.917,6.000,0.271,1.009,3.247,3.547,0.117,6.41,7.05
42,10,10,Soft pit,Near max,Full half straight,Straight,89,249,1.333,0.314,0.728,6.000,0.345,0.801,3.159,3.459,0.117,6.65,7.32
43,10,11,Soft pit,Near max,Full half straight,Straight,84,243,1.325,0.328,0.760,6.000,0.361,0.836,3.175,3.475,0.117,6.80,7.48
44,10,12,Semi in Soft pit,Sub max,Double half pike,Pike,89,246,1.308,0.101,0.854,6.000,0.111,0.939,3.096,3.346,0.116,6.26,6.89
45,10,13,Semi in Soft pit,Sub max,Double half pike,Pike,94,250,1.300,0.164,0.847,6.000,0.180,0.932,3.097,3.347,0.116,6.44,7.08
46,10,14,Semi in Soft pit,Near max,Full half straight,Straight,88,245,1.308,0.347,0.769,6.000,0.382,0.846,3.142,3.392,0.117,6.53,7.18
47,10,16,Semi in Soft pit,Near max,Full half straight,Straight,90,253,1.358,0.439,0.683,6.000,0.483,0.751,3.264,3.514,0.117,6.52,7.17
48,11,1,Competition,Sub max,Full half straight,Straight,93,248,1.292,0.027,0.776,6.000,0.030,0.854,2.916,3.366,0.116,6.21,6.83
49,11,2,Competition,Sub max,Full half straight,Straight,92,249,1.308,-0.012,0.785,6.000,-0.013,0.864,2.958,3.408,0.116,6.35,6.99
50,11,4,Competition,Near max,Tripple half tuck,Tuck,85,258,1.442,0.082,0.715,6.000,0.090,0.787,3.383,3.833,0.117,6.99,7.69
51,11,5,Competition,Near max,Tripple half tuck,Tuck,86,259,1.442,0.075,0.809,6.000,0.083,0.890,3.482,3.932,0.117,6.80,7.48
52,11,6,Soft pit,Sub max,Full half straight,Straight,87,245,1.317,0.278,0.817,6.000,0.306,0.899,3.182,3.482,0.117,6.23,6.85
53,11,7,Soft pit,Sub max,Full half straight,Straight,83,244,1.342,0.292,0.692,6.000,0.321,0.761,3.134,3.434,0.117,6.23,6.85
54,11,8,Soft pit,Near max,Tripple half tuck,Tuck,81,258,1.475,0.399,0.637,6.000,0.439,0.701,3.595,3.895,0.118,6.63,7.29
55,11,9,Soft pit,Near max,Tripple half tuck,Tuck,83,257,1.450,0.443,0.771,6.000,0.487,0.848,3.678,3.978,0.118,6.67,7.34
56,11,10,Semi in Soft pit,Sub max,Full half straight,Straight,93,249,1.300,0.242,0.712,6.000,0.266,0.783,2.992,3.242,0.117,6.01,6.61
57,11,11,Semi in Soft pit,Sub max,Full half straight,Straight,91,250,1.325,0.256,0.856,6.000,0.282,0.942,3.239,3.489,0.117,6.06,6.67
58,11,12,Semi in Soft pit,Near max,Tripple half tuck,Tuck,84,259,1.458,0.350,0.698,6.000,0.385,0.768,3.574,3.824,0.118,6.87,7.56
59,11,13,Semi in Soft pit,Near max,Tripple half tuck,Tuck,84,259,1.458,0.360,0.708,6.000,0.396,0.779,3.591,3.841,0.118,6.82,7.50
60,12,1,Competition,Sub max,Full half straight,Straight,74,220,1.217,0.141,0.696,6.000,0.155,0.766,2.661,3.111,0.116,6.11,6.72
61,12,2,Competition,Sub max,Full half straight,Straight,88,235,1.225,0.134,0.740,6.000,0.147,0.814,2.730,3.180,0.116,6.06,6.67
62,12,3,Competition,Near max,Tripple half tuck,Tuck,73,235,1.350,0.191,0.709,6.000,0.210,0.780,3.123,3.573,0.117,6.43,7.07
63,12,4,Competition,Near max,Tripple half tuck,Tuck,84,248,1.367,0.251,0.722,6.000,0.276,0.794,3.227,3.677,0.117,6.67,7.34
64,12,5,Semi in Soft pit,Sub max,Full half straight,Straight,63,213,1.250,0.266,0.705,4.500,0.301,0.799,2.870,3.120,0.116,5.47,6.20
65,12,6,Semi in Soft pit,Sub max,Full half straight,Straight,59,212,1.275,0.228,0.773,4.500,0.258,0.876,3.002,3.252,0.116,5.58,6.32
66,12,7,Semi in Soft pit,Near max,Tripple half tuck,Tuck,56,219,1.358,0.311,0.644,4.500,0.352,0.730,3.174,3.424,0.117,5.54,6.28
67,12,8,Semi in Soft pit,Near max,Tripple half tuck,Tuck,63,231,1.400,0.298,0.695,4.500,0.338,0.788,3.365,3.615,0.117,5.66,6.41
68,12,9,Soft pit,Sub max,Full half straight,Straight,61,214,1.275,0.255,0.689,4.500,0.289,0.781,2.923,3.223,0.117,5.41,6.13
69,12,10,Soft pit,Sub max,Full half straight,Straight,61,219,1.317,0.252,0.680,4.500,0.286,0.771,3.043,3.343,0.117,5.37,6.09
70,12,11,Soft pit,Near max,Tripple half tuck,Tuck,69,235,1.383,0.281,0.660,4.500,0.318,0.748,3.258,3.558,0.117,6.02,6.82
71,12,12,Soft pit,Near max,Tripple half tuck,Tuck,66,231,1.375,0.280,0.629,4.500,0.317,0.713,3.195,3.495,0.117,5.73,6.49
72,13,1,Competition,Sub max,Double half straight,Straight,78,238,1.333,0.214,0.668,6.000,0.235,0.735,3.036,3.486,0.117,5.74,6.31
73,13,2,Competition,Sub max,Double half straight,Straight,76,234,1.317,0.100,0.781,6.000,0.110,0.859,3.042,3.492,0.116,6.17,6.79
74,13,3,Competition,Near max,Tripple half tuck,Tuck,86,253,1.392,0.243,0.574,6.000,0.267,0.631,3.144,3.594,0.117,6.31,6.94
75,13,4,Competition,Near max,Tripple half tuck,Tuck,79,254,1.458,0.245,0.733,6.000,0.270,0.806,3.553,4.003,0.118,6.43,7.07
76,13,5,Semi in Soft pit,Sub max,Double half straight,Straight,56,210,1.283,0.266,0.653,4.500,0.301,0.740,2.915,3.165,0.117,5.53,6.27
77,13,6,Semi in Soft pit,Sub max,Double half straight,Straight,53,211,1.317,0.327,0.694,4.500,0.371,0.787,3.103,3.353,0.117,5.76,6.53
78,13,7,Semi in Soft pit,Near max,Tripple half tuck,Tuck,54,229,1.458,0.435,0.620,4.500,0.493,0.703,3.565,3.815,0.118,5.98,6.78
79,13,8,Semi in Soft pit,Near max,Tripple half tuck,Tuck,54,230,1.467,0.364,0.630,4.500,0.413,0.714,3.564,3.814,0.118,6.02,6.82
80,13,9,Soft pit,Sub max,Double half straight,Straight,58,213,1.292,0.314,0.675,4.500,0.356,0.765,2.994,3.294,0.117,5.71,6.47
81,13,10,Soft pit,Sub max,Double half straight,Straight,50,216,1.383,0.322,0.697,4.500,0.365,0.790,3.324,3.624,0.117,5.85,6.63
82,13,14,Soft pit,Near max,Tripple half tuck,Tuck,59,229,1.417,0.384,0.566,4.500,0.435,0.641,3.327,3.627,0.118,5.67,6.43
83,14,2,Competition,Sub max,Full half straight,Straight,78,224,1.217,0.184,0.713,6.000,0.202,0.784,2.704,3.154,0.116,5.81,6.39
84,14,3,Competition,Sub max,Full half straight,Straight,83,237,1.283,0.153,0.739,6.000,0.168,0.813,2.919,3.369,0.116,5.69,6.26
85,14,4,Competition,Near max,Tripple half tuck,Tuck,77,249,1.433,0.173,0.680,6.000,0.190,0.748,3.365,3.815,0.117,6.22,6.84
86,14,5,Competition,Near max,Tripple half tuck,Tuck,74,250,1.467,0.295,0.656,6.000,0.325,0.722,3.526,3.976,0.118,6.13,6.74
87,14,6,Semi in Soft pit,Sub max,Full half straight,Straight,65,221,1.300,0.234,0.719,4.500,0.265,0.815,3.024,3.274,0.117,5.51,6.24
88,14,7,Semi in Soft pit,Sub max,Full half straight,Straight,62,213,1.258,0.323,0.672,4.500,0.366,0.762,2.892,3.142,0.117,5.44,6.17
89,14,8,Semi in Soft pit,Near max,Tripple half tuck,Tuck,57,234,1.475,0.361,0.695,4.500,0.409,0.788,3.666,3.916,0.118,5.86,6.64
90,14,9,Semi in Soft pit,Near max,Tripple half tuck,Tuck,56,226,1.417,0.358,0.648,4.500,0.406,0.734,3.404,3.654,0.118,5.62,6.37
91,14,10,Soft pit,Sub max,Full half straight,Straight,62,219,1.308,0.344,0.646,4.500,0.390,0.732,3.032,3.332,0.117,5.24,5.94
92,14,11,Soft pit,Sub max,Full half straight,Straight,62,218,1.300,0.372,0.564,4.500,0.422,0.639,2.929,3.229,0.117,5.44,6.17
93,14,12,Soft pit,Near max,Tripple half tuck,Tuck,56,236,1.500,0.383,0.651,4.500,0.434,0.738,3.720,4.020,0.118,5.78,6.55
94,14,13,Soft pit,Near max,Tripple half tuck,Tuck,52,234,1.517,0.437,0.617,4.500,0.495,0.699,3.775,4.075,0.118,5.87,6.65
95,15,1,Competition,Sub max,Double half pike,Pike,61,215,1.283,0.102,0.784,6.000,0.112,0.862,2.940,3.390,0.116,5.25,5.78
96,15,2,Competition,Sub max,Double half pike,Pike,70,219,1.242,0.155,0.726,6.000,0.171,0.799,2.777,3.227,0.116,5.46,6.01
97,15,3,Competition,Near max,Tripple half tuck,Tuck,69,226,1.308,0.238,0.645,6.000,0.262,0.710,2.943,3.393,0.117,6.02,6.62
98,15,4,Competition,Near max,Tripple half tuck,Tuck,88,238,1.250,0.214,0.616,6.000,0.235,0.678,2.715,3.165,0.116,6.68,7.35
99,15,5,Semi in Soft pit,Sub max,Double half pike,Pike,65,217,1.267,0.303,0.655,4.500,0.343,0.742,2.887,3.137,0.117,5.56,6.30
100,15,6,Semi in Soft pit,Sub max,Double half pike,Pike,60,222,1.350,0.203,0.739,4.500,0.230,0.838,3.191,3.441,0.117,5.26,5.96
101,15,7,Semi in Soft pit,Near max,Tripple half tuck,Tuck,77,235,1.317,0.330,0.584,4.500,0.374,0.662,2.981,3.231,0.117,5.56,6.30
102,15,8,Semi in Soft pit,Near max,Tripple half tuck,Tuck,61,229,1.400,0.345,0.586,4.500,0.391,0.664,3.269,3.519,0.117,5.63,6.38
103,15,9,Soft pit,Sub max,Double half pike,Pike,63,216,1.275,0.235,0.786,4.500,0.266,0.891,3.021,3.321,0.117,4.91,5.56
104,15,10,Soft pit,Sub max,Double half pike,Pike,57,211,1.283,0.232,0.739,4.500,0.263,0.838,2.992,3.292,0.117,4.96,5.62
105,15,11,Soft pit,Near max,Tripple half tuck,Tuck,68,223,1.292,0.324,0.566,4.500,0.367,0.641,2.877,3.177,0.117,5.47,6.20
