Subject Id,Placement,Sensor
7,lower_back,244730001964
7,thigh,244730001978
7,shin,244730001982
7,chest,244730001997
8,lower_back,244730001964
8,thigh,244730001978
8,shin,244730001982
8,chest,244730001997
9,lower_back,244730001964
9,thigh,244730001978
9,shin,244730001982
9,chest,244730001997
10,lower_back,244730001964
10,thigh,244730001978
10,shin,244730001982
10,chest,244730001997
11,lower_back,244730001964
11,thigh,244730001978
11,shin,244730001982
11,chest,244730001997
12,lower_back,244730001964
12,thigh,244730001978
12,shin,244730001982
12,chest,244730001997
13,lower_back,244730001964
13,thigh,244730001978
13,shin,244730001982
13,chest,244730001997
14,lower_back,244730001986
14,thigh,244730001966
14,shin,240530000124
14,chest,244730001955
15,lower_back,244730001986
15,thigh,244730001966
15,shin,240530000124
15,chest,244730001955
16,lower_back,244730001986
16,thigh,244730001966
16,shin,240530000124
16,chest,244730001955
17,lower_back,244730001964
17,thigh,244730001978
17,shin,244730001982
17,chest,244730001997
