test_subject,jump_nr,landing,trial,net_takeoff_impulse,net_landing_impulse
7,2,Comp,Sub max,-754.912116826806,-449.9766341225916
7,3,Comp,Sub max,-712.6504654029964,-522.8456649949288
7,4,Comp,Near max,-785.6501713761897,-487.88219565718475
7,5,Comp,Near max,-681.0567581532155,-477.77425333542845
7,6,Soft,Sub max,-734.6384334374059,-658.2078276090988
7,7,Soft,Sub max,-764.8541786873207,-715.4788730633879
7,8,Soft,Near max,-782.9286003145392,-672.5356535863714
7,9,Soft,Near max,-699.9522406727102,-646.9775650885194
7,10,Semi,Sub max,-716.3985249750924,-523.2025912090405
7,11,Semi,Sub max,-711.8350016229458,-546.3797417663361
7,12,Semi,Near max,-774.9870384678109,-624.3479923695864
7,13,Semi,Near max,-778.6569414013031,-636.2106712832685
8,3,Comp,Sub max,-681.2961487687924,-553.7567494282316
8,4,Comp,Sub max,-810.5206414079433,-531.5120545440338
8,5,Comp,Near max,-774.3532383314898,-517.0938155636458
8,6,Comp,Near max,-799.3852556022165,-539.4287414386285
8,7,Soft,Sub max,-717.8658361808898,-624.6685547570028
8,8,Soft,Sub max,-702.307409727857,-711.8281714458669
8,9,Soft,Near max,-817.8817633841359,-688.779980656064
8,10,Soft,Near max,-800.1862223525541,-620.5997306742063
8,11,Semi,Sub max,-727.0583961824693,-596.960645893401
8,12,Semi,Sub max,-790.0394181826425,-596.0666370685839
8,13,Semi,Near max,-739.657251246334,-597.9773283417234
8,14,Semi,Near max,-732.3195969471279,-684.2236906475341
9,3,Comp,Sub max,-715.5202381933558,-580.8407230949657
9,4,Comp,Sub max,-769.8261515521019,-472.9046819771306
9,5,Comp,Near max,-634.4502597569274,-611.0151415882442
9,6,Comp,Near max,-716.3877704863132,-653.5010023275813
9,7,Soft,Sub max,-666.1436138204606,-635.2298135106669
9,8,Soft,Sub max,-635.0172570363945,-578.5188342525789
9,9,Soft,Near max,-720.0864730311786,-567.0687020980072
9,10,Soft,Near max,-625.3656912925079,-452.9660903162927
9,11,Semi,Sub max,-546.7416448206385,-603.1118088769267
9,12,Semi,Sub max,-609.9013263363627,-504.63919591880386
9,13,Semi,Near max,-673.2670809710803,-583.1237179568508
9,14,Semi,Near max,-683.6759500294097,-572.556509378473
10,3,Comp,Sub max,-708.6730230292527,-697.1112525768053
10,4,Comp,Sub max,-697.9678916042498,-752.9490122025725
10,5,Comp,Near max,-715.2932488491813,-778.6752145570047
10,6,Comp,Near max,-647.9585680279213,-750.6497650027443
10,8,Soft,Sub max,-703.8921556314558,-607.6082201974403
10,10,Soft,Near max,-572.9295075893542,-629.2866117783774
10,11,Soft,Near max,-526.0604010628249,-620.7045318202013
10,12,Semi,Sub max,-663.6967854835927,-519.3226382768669
10,13,Semi,Sub max,-652.5725057946419,-646.1511393433623
10,14,Semi,Near max,-633.5516564317102,-669.5019617656692
10,16,Semi,Near max,-490.95793029013464,-399.3098051252966
11,1,Comp,Sub max,-720.8429865496025,-709.1823693372951
11,2,Comp,Sub max,-736.1620883256762,-611.4131019663012
11,4,Comp,Near max,-689.8053072940646,-562.0497634690805
11,5,Comp,Near max,-718.2055380882965,-598.8464902300627
11,6,Soft,Sub max,-761.2260487845653,-632.3071157904185
11,7,Soft,Sub max,-753.5653704631209,-763.4418818992215
11,8,Soft,Near max,-865.3635780383679,-746.7332667538182
11,9,Soft,Near max,-699.4105837359398,-681.4756308695275
11,10,Semi,Sub max,-761.560071898622,-612.3076447686236
11,11,Semi,Sub max,-724.8729304323201,-649.3952746254269
11,12,Semi,Near max,-739.1845594865063,-665.8990505925163
11,13,Semi,Near max,-638.1939798567458,-600.2468038893754
12,1,Comp,Sub max,-850.0685348952136,-869.3728155373744
12,2,Comp,Sub max,-827.648080379012,-784.9858335137133
12,3,Comp,Near max,-689.3398713291551,-600.9126065113243
12,4,Comp,Near max,-704.3166100709993,-600.0173295467308
12,5,Semi,Sub max,-793.8583002028372,-669.8746570132819
12,6,Semi,Sub max,-780.0389011814134,-628.6397469484112
12,7,Semi,Near max,-783.0279830567596,-692.3760103892462
12,8,Semi,Near max,-620.0834961312512,-689.3919597591587
12,9,Soft,Sub max,-822.4359778813478,-826.5741061000663
12,10,Soft,Sub max,-842.9131205634687,-768.3417252162506
12,11,Soft,Near max,-706.3390034129168,-630.465752792565
12,12,Soft,Near max,-888.005034750615,-790.5623881016509
13,1,Comp,Sub max,-886.1181274282612,-681.9766459595081
13,2,Comp,Sub max,-891.9070453393809,-691.3740289884523
13,3,Comp,Near max,-845.0523957068524,-467.6636779592734
13,4,Comp,Near max,-626.8468631541423,-388.34439452158927
13,5,Semi,Sub max,-796.0501208380128,-579.7145246668871
13,6,Semi,Sub max,-751.2737050848002,-618.4674412146733
13,7,Semi,Near max,-675.9343124190843,-561.6089602010791
13,8,Semi,Near max,-920.5196870916038,-12.35741860898085
13,9,Soft,Sub max,-875.0610684008618,-107.00550535567959
13,10,Soft,Sub max,-626.4310075678108,-647.8617136304381
13,14,Soft,Near max,-798.0675525273903,-659.2354457794352
14,2,Comp,Sub max,-912.913664517348,-731.1513390645273
14,3,Comp,Sub max,-959.4434583926202,-945.0325272702391
14,4,Comp,Near max,-854.8461861251843,-665.5100987675642
14,5,Comp,Near max,-800.0439847243553,-796.5766369986657
14,6,Semi,Sub max,-907.0135514926444,-765.558382619421
14,7,Semi,Sub max,-887.9730417513224,-823.8635287430185
