test_subject,jump_nr,landing,trial,fss,video_fss
7,2,Competition,Sub max,11.228849291469942,5.98
7,3,Competition,Sub max,9.476493963836491,5.95
7,4,Competition,Near max,7.542901156296383,6.84
7,5,Competition,Near max,11.979321826982273,6.64
7,6,Soft pit,Sub max,10.7456744939553,6.06
7,7,Soft pit,Sub max,8.0052588130964,6.27
7,8,Soft pit,Near max,7.049713825925577,6.74
7,9,Soft pit,Near max,9.415422106284662,7.02
7,10,Semi in Soft pit,Sub max,9.272209973150908,5.23
7,11,Semi in Soft pit,Sub max,6.101286695127515,5.73
7,12,Semi in Soft pit,Near max,10.760066326839098,6.81
7,13,Semi in Soft pit,Near max,7.86071913198562,6.89
8,3,Competition,Sub max,7.015423617488419,6.79
8,4,Competition,Sub max,6.122001373031827,6.92
8,5,Competition,Near max,5.515364743299088,7.35
8,6,Competition,Near max,10.065259338264513,7.43
8,7,Soft pit,Sub max,9.953482269500405,7.0
8,8,Soft pit,Sub max,6.6775037464883,6.53
8,9,Soft pit,Near max,9.720122908108754,7.11
8,10,Soft pit,Near max,8.006373886174782,7.17
8,11,Semi in Soft pit,Sub max,5.366657854277389,6.51
8,12,Semi in Soft pit,Sub max,5.530505891709616,6.34
8,13,Semi in Soft pit,Near max,8.30394090658002,6.77
8,14,Semi in Soft pit,Near max,9.293210395833144,6.6
9,3,Competition,Sub max,7.720778594891438,6.68
9,4,Competition,Sub max,10.486266479794313,6.26
9,5,Competition,Near max,4.216455993637316,7.28
9,6,Competition,Near max,11.754254278347373,7.77
9,7,Soft pit,Sub max,6.824622944449532,6.89
9,8,Soft pit,Sub max,6.79234911349282,6.4
9,9,Soft pit,Near max,7.4944054295285,7.22
9,10,Soft pit,Near max,8.327001249553614,7.21
9,11,Semi in Soft pit,Sub max,10.42351293075205,6.98
9,12,Semi in Soft pit,Sub max,5.065401363381642,7.11
9,13,Semi in Soft pit,Near max,7.644889101958695,7.3
9,14,Semi in Soft pit,Near max,7.128484931203191,6.98
10,3,Competition,Sub max,6.680582185100621,6.93
10,4,Competition,Sub max,5.326898037597847,7.19
10,5,Competition,Near max,8.812297644882781,7.59
10,6,Competition,Near max,7.484678242367345,7.71
10,8,Soft pit,Sub max,10.186608523876624,7.05
10,10,Soft pit,Near max,12.277234232987619,7.32
10,11,Soft pit,Near max,10.533766382091207,7.48
10,12,Semi in Soft pit,Sub max,10.083148929818355,6.89
